Year,Team,Total Salaries,Total Salaries (Cap/Tax)
2016,Atlanta Hawks,100520562,100791790
2015,Atlanta Hawks,71407945,71109725
2014,Atlanta Hawks,58328957,58337671
2013,Atlanta Hawks,58477559,59001193
2012,Atlanta Hawks,66492527,66598092
2011,Atlanta Hawks,70958314,58499885
2010,Atlanta Hawks,69470010,69967802
2016,Boston Celtics,93035161,93465328
2015,Boston Celtics,77166671,77166671
2014,Boston Celtics,60403234,60436154
2013,Boston Celtics,70644150,70644150
2012,Boston Celtics,71576087,72094307
2011,Boston Celtics,76544614,62018626
2010,Boston Celtics,68932536,66752727
2016,Brooklyn Nets,76449868,75954017
2015,Brooklyn Nets,80503847,80584096
2014,Brooklyn Nets,88429175,87935068
2013,Brooklyn Nets,102928076,103376676
2012,New Jersey Nets,83529674,84319414
2011,New Jersey Nets,0,0
2010,New Jersey Nets,0,0
2016,Charlotte Hornets,99210715,98714936
2015,Charlotte Hornets,78532364,76940006
2014,Charlotte Bobcats,0,0
2013,Charlotte Bobcats,62824677,63505756
2012,Charlotte Bobcats,57500127,57546579
2011,Charlotte Bobcats,65611373,56630995
2010,Charlotte Bobcats,66564047,66938913
2016,Chicago Bulls,96694227,95544227
2015,Chicago Bulls,88546602,87396602
2014,Chicago Bulls,67432537,67696226
2013,Chicago Bulls,71073626,71724391
2012,Chicago Bulls,74258448,75628955
2011,Chicago Bulls,70787864,59845134
2010,Chicago Bulls,54667613,55165405
2016,Cleveland Cavaliers,127519872,128662328
2015,Cleveland Cavaliers,107028394,108132216
2014,Cleveland Cavaliers,81377634,82070967
2013,Cleveland Cavaliers,66179320,66179320
2012,Cleveland Cavaliers,53964150,69071809
2011,Cleveland Cavaliers,50463174,55400572
2010,Cleveland Cavaliers,48148715,48148715
2016,Dallas Mavericks,110661803,110661803
2015,Dallas Mavericks,73096861,74200683
2014,Dallas Mavericks,75014621,76270947
2013,Dallas Mavericks,68057497,67475263
2012,Dallas Mavericks,61941526,62306605
2011,Dallas Mavericks,75210420,59518318
2010,Dallas Mavericks,86572655,86589829
2016,Denver Nuggets,74864882,74884589
2015,Denver Nuggets,71448753,72000664
2014,Denver Nuggets,56142354,56142354
2013,Denver Nuggets,65379734,65443348
2012,Denver Nuggets,63970222,63970222
2011,Denver Nuggets,57150022,46559241
2010,Denver Nuggets,83866762,83866762
2016,Detroit Pistons,107901937,108473165
2015,Detroit Pistons,69333690,69333690
2014,Detroit Pistons,63871995,63966882
2013,Detroit Pistons,61897253,61897253
2012,Detroit Pistons,68565736,68565736
2011,Detroit Pistons,64056680,53719326
2010,Detroit Pistons,61704230,62202022
2016,Golden State Warriors,99638439,101239340
2015,Golden State Warriors,95777682,93669067
2014,Golden State Warriors,72585093,73118340
2013,Golden State Warriors,71406068,71421223
2012,Golden State Warriors,69712825,68837825
2011,Golden State Warriors,57385359,50605321
2010,Golden State Warriors,69339251,69339251
2016,Houston Rockets,94784184,94784184
2015,Houston Rockets,88387446,89840307
2014,Houston Rockets,74050249,74079885
2013,Houston Rockets,63877378,58093300
2012,Houston Rockets,55435438,53994353
2011,Houston Rockets,49625800,41380019
2010,Houston Rockets,50831403,49621523
2016,Indiana Pacers,90002004,86627004
2015,Indiana Pacers,72413726,71967040
2014,Indiana Pacers,74798942,75144604
2013,Indiana Pacers,66639356,67079570
2012,Indiana Pacers,66745868,66776598
2011,Indiana Pacers,44413746,36045497
2010,Indiana Pacers,48794305,48794305
2016,Los Angeles Clippers,114740032,116217505
2015,Los Angeles Clippers,96140524,96442478
2014,Los Angeles Clippers,80598406,81287509
2013,Los Angeles Clippers,74981669,75301610
2012,Los Angeles Clippers,69518889,70402631
2011,Los Angeles Clippers,69573889,56499816
2010,Los Angeles Clippers,51973006,51973006
2016,Los Angeles Lakers,93613079,94254837
2015,Los Angeles Lakers,71965372,72439098
2014,Los Angeles Lakers,70374042,77528291
2013,Los Angeles Lakers,77089935,77289293
2012,Los Angeles Lakers,99847565,100345357
2011,Los Angeles Lakers,81659758,66183141
2010,Los Angeles Lakers,77717037,78214829
2016,Memphis Grizzlies,110388805,110388805
2015,Memphis Grizzlies,83382043,83391459
2014,Memphis Grizzlies,74760326,74773881
2013,Memphis Grizzlies,71894257,71804777
2012,Memphis Grizzlies,63276388,63076749
2011,Memphis Grizzlies,67958273,57512667
2010,Memphis Grizzlies,63223932,63223932
2016,Miami Heat,101513503,101513503
2015,Miami Heat,84619637,85739498
2014,Miami Heat,75966404,75795010
2013,Miami Heat,80645920,80932182
2012,Miami Heat,83431885,83827163
2011,Miami Heat,78613056,65484831
2010,Miami Heat,64521677,65603366
2016,Milwaukee Bucks,98493671,98636127
2015,Milwaukee Bucks,70579512,70709088
2014,Milwaukee Bucks,55114481,62106145
2013,Milwaukee Bucks,54229524,60916924
2012,Milwaukee Bucks,61658839,62105016
2011,Milwaukee Bucks,66354411,53184948
2010,Milwaukee Bucks,67570636,67570636
2016,Minnesota Timberwolves,82427630,82700810
2015,Minnesota Timberwolves,70652855,71760686
2014,Minnesota Timberwolves,67919790,67923799
2013,Minnesota Timberwolves,68154796,67791929
2012,Minnesota Timberwolves,62360135,62575255
2011,Minnesota Timberwolves,56628453,45760297
2010,Minnesota Timberwolves,45057768,45057768
2016,New Orleans Pelicans,99815907,100099780
2015,New Orleans Pelicans,81425760,81926922
2014,New Orleans Pelicans,70413595,77111880
2013,New Orleans Hornets,66438200,65938200
2012,New Orleans Hornets,0,0
2011,New Orleans Hornets,0,0
2010,New Orleans Hornets,0,0
2016,New York Knicks,102632073,103633468
2015,New York Knicks,73449788,73862667
2014,New York Knicks,80629628,80937143
2013,New York Knicks,88277907,87505461
2012,New York Knicks,78854599,79416811
2011,New York Knicks,61370415,50975336
2010,New York Knicks,44321107,44321107
2016,Oklahoma City Thunder,86969117,86969117
2015,Oklahoma City Thunder,98957818,99087680
2014,Oklahoma City Thunder,78791633,79093199
2013,Oklahoma City Thunder,70696313,70893705
2012,Oklahoma City Thunder,68257854,68125239
2011,Oklahoma City Thunder,61831253,51191896
2010,Oklahoma City Thunder,59087679,52587679
2016,Orlando Magic,106243101,106243101
2015,Orlando Magic,65540336,65608480
2014,Orlando Magic,56016975,56016975
2013,Orlando Magic,53516731,75725767
2012,Orlando Magic,66215396,65362046
2011,Orlando Magic,69266121,54846132
2010,Orlando Magic,88497177,88106193
2016,Philadelphia 76ers,77527693,77547262
2015,Philadelphia 76ers,62424777,62753076
2014,Philadelphia 76ers,56923056,56314896
2013,Philadelphia 76ers,53780843,53530843
2012,Philadelphia 76ers,64367073,64854627
2011,Philadelphia 76ers,64767225,53881299
2010,Philadelphia 76ers,49431213,49431213
2016,Phoenix Suns,80863334,80863334
