"[""Total Salaries"", ""$100,520,562""]","[""Total Salaries (Cap)"", ""$100,791,790""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$71,407,945""]","[""Total Salaries (Cap)"", ""$71,109,725""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$58,328,957""]","[""Total Salaries (Cap)"", ""$58,337,671""]","[""Total Salaries (Tax)"", ""$0""]"
"[""Total Salaries"", ""$58,477,559""]","[""Total Salaries (Cap)"", ""$59,001,193""]","[""Total Salaries (Tax)"", ""$0""]"
"[""Total Salaries"", ""$66,492,527""]","[""Total Salaries (Cap)"", ""$66,598,092""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$70,958,314""]","[""Total Salaries (Cap)"", ""$58,499,885""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$69,470,010""]","[""Total Salaries (Cap)"", ""$69,967,802""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$93,035,161""]","[""Total Salaries (Cap)"", ""$93,465,328""]","[""Total Salaries (Tax)"", ""$0""]"
"[""Total Salaries"", ""$77,166,671""]","[""Total Salaries (Cap)"", ""$77,166,671""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$60,403,234""]","[""Total Salaries (Cap)"", ""$60,436,154""]","[""Total Salaries (Tax)"", ""$0""]"
"[""Total Salaries"", ""$70,644,150""]","[""Total Salaries (Cap)"", ""$70,644,150""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$71,576,087""]","[""Total Salaries (Cap)"", ""$72,094,307""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$76,544,614""]","[""Total Salaries (Cap)"", ""$62,018,626""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$68,932,536""]","[""Total Salaries (Cap)"", ""$66,752,727""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$76,449,868""]","[""Total Salaries (Cap)"", ""$75,954,017""]","[""Total Salaries (Tax)"", ""$0""]"
"[""Total Salaries"", ""$80,503,847""]","[""Total Salaries (Cap)"", ""$80,584,096""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$88,429,175""]","[""Total Salaries (Cap)"", ""$87,935,068""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$102,928,076""]","[""Total Salaries (Cap)"", ""$103,376,676""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""$83,529,674""]","[""Total Salaries (Cap)"", ""$84,319,414""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""-""]","[""Total Salaries (Cap)"", ""-""]","[""Total Salaries (Tax)"", ""-""]"
"[""Total Salaries"", ""-""]","[""Total Salaries (Cap)"", ""-""]","[""Total Salaries (Tax)"", ""-""]"
